"DRG_VERSION","DRG_CODE","AvgOfsnapallied","AvgOfsnappath","AvgOfsnapimag","AvgOfsnapnurse","AvgOfsnapdrugs","AvgOfsnapsupply","AvgOfsnapother"
"S3","3505",0.21,0.03,0.07,0.21,0.10,0.22,0.02
"S3","3506",0.18,0.10,0.10,0.21,0.09,0.23,0.07
"S3","3507",0.31,0.10,0.19,0.27,0.16,0.14,0.09
"S3","3508",0.33,0.05,0.24,0.29,0.09,0.11,0.01
"S3","3509",0.05,0.01,0.00,0.18,0.08,0.13,0.09
"S3","3510",0.09,0.01,0.00,0.15,0.10,0.12,0.08
"S3","3511",0.05,0.01,0.00,0.09,0.07,0.11,0.06
"S3","3551",1.04,0.04,0.10,0.21,0.10,0.31,0.18
"S3","3552",0.88,0.04,0.06,0.30,0.07,0.47,0.26
"S3","3553",0.99,0.03,0.11,0.27,0.06,0.49,0.38
"S3","3554",0.69,0.02,0.07,0.13,0.05,0.29,0.16
"S3","3555",0.69,0.06,0.10,0.22,0.08,0.31,0.13
"S3","3556",0.88,0.07,0.28,0.18,0.07,0.22,0.04
"S3","3557",0.71,0.07,0.15,0.21,0.06,0.20,0.06
"S3","3558",0.63,0.07,0.12,0.27,0.06,0.20,0.04
"S3","3559",0.62,0.09,0.08,0.25,0.07,0.29,0.07
"S3","3560",0.57,0.07,0.12,0.29,0.05,0.19,0.09
"S3","3561",0.81,0.05,0.12,0.18,0.04,0.19,0.05
"S3","3562",0.78,0.05,0.08,0.22,0.04,0.24,0.03
"S3","3563",0.60,0.06,0.10,0.31,0.06,0.18,0.07
"S3","3564",0.82,0.05,0.15,0.18,0.06,0.20,0.04
"S3","3565",0.70,0.05,0.11,0.21,0.07,0.19,0.06
"S3","3566",0.62,0.05,0.12,0.28,0.07,0.22,0.06
"S3","3901",0.72,0.06,0.11,0.25,0.05,0.23,0.04
"S3","3902",2.18,0.24,0.54,0.15,0.03,0.21,0.26
"S3","3903",1.23,0.11,0.36,0.18,0.04,0.47,0.12
"S3","3904",0.97,0.16,0.34,0.30,0.06,0.40,0.10
"S3","3905",1.20,0.05,0.14,0.26,0.03,0.30,0.19
"S3","3906",0.63,0.10,0.24,0.21,0.07,0.16,0.04
"S4","4999",0.94,0.01,0.02,0.37,0.17,0.17,0.02
"S4","499G",0.94,0.01,0.02,0.37,0.17,0.17,0.02
"S4","4A21",0.79,0.05,0.11,0.19,0.04,0.20,0.04
"S4","4A22",0.75,0.05,0.09,0.21,0.05,0.22,0.04
"S4","4A23",0.61,0.06,0.10,0.29,0.06,0.20,0.06
"S4","4A31",0.69,0.08,0.21,0.21,0.06,0.18,0.03
"S4","4A32",0.70,0.07,0.17,0.23,0.05,0.21,0.04
"S4","4A33",0.71,0.07,0.20,0.24,0.06,0.20,0.05
"S4","4A34",0.66,0.07,0.18,0.25,0.06,0.19,0.05
"S4","4A91",0.66,0.09,0.19,0.23,0.06,0.20,0.04
"S4","4A92",0.57,0.08,0.21,0.29,0.08,0.17,0.07
"S4","4A93",0.48,0.08,0.18,0.33,0.07,0.14,0.06
"S4","4AA1",0.99,0.07,0.13,0.22,0.08,0.24,0.06
"S4","4AA2",0.98,0.06,0.11,0.22,0.07,0.24,0.06
"S4","4AA3",1.06,0.05,0.05,0.24,0.07,0.28,0.06
"S4","4AA4",0.93,0.06,0.08,0.26,0.08,0.23,0.06
"S4","4AA5",1.11,0.03,0.07,0.25,0.07,0.26,0.07
"S4","4AA6",0.95,0.06,0.08,0.27,0.08,0.22,0.05
"S4","4AA7",1.18,0.03,0.07,0.25,0.07,0.27,0.07
"S4","4AB1",1.52,0.09,0.13,0.22,0.13,0.23,0.17
"S4","4AB2",1.55,0.07,0.09,0.24,0.10,0.19,0.10
"S4","4AB3",1.48,0.06,0.09,0.24,0.09,0.22,0.14
"S4","4AB4",1.50,0.05,0.08,0.25,0.08,0.20,0.10
"S4","4AB5",1.37,0.03,0.08,0.27,0.07,0.19,0.09
"S4","4AB6",1.39,0.02,0.07,0.27,0.05,0.21,0.10
"S4","4AB7",1.26,0.02,0.05,0.35,0.06,0.14,0.12
"S4","4AC1",0.92,0.05,0.14,0.19,0.07,0.23,0.07
"S4","4AC2",0.96,0.03,0.07,0.25,0.06,0.27,0.05
"S4","4AC3",0.97,0.06,0.15,0.27,0.10,0.25,0.07
"S4","4AD1",1.00,0.03,0.09,0.21,0.10,0.32,0.18
"S4","4AD2",0.87,0.03,0.05,0.30,0.07,0.46,0.26
"S4","4AD3",0.99,0.03,0.09,0.22,0.10,0.33,0.20
"S4","4AD4",0.94,0.02,0.08,0.28,0.06,0.47,0.32
"S4","4AE1",0.69,0.02,0.06,0.13,0.05,0.28,0.16
"S4","4AE2",0.68,0.06,0.10,0.20,0.07,0.30,0.12
"S4","4AE3",0.68,0.06,0.10,0.21,0.07,0.30,0.12
"S4","4AE4",0.68,0.04,0.08,0.18,0.06,0.29,0.14
"S4","4AH1",0.68,0.06,0.13,0.22,0.06,0.20,0.04
"S4","4AH2",0.66,0.07,0.12,0.23,0.06,0.20,0.04
"S4","4AH3",0.60,0.08,0.09,0.26,0.06,0.26,0.07
"S4","4AH4",0.60,0.08,0.09,0.26,0.06,0.26,0.07
"S4","4AP1",1.32,0.13,0.36,0.22,0.04,0.39,0.14
"S4","4AR1",0.62,0.09,0.22,0.22,0.07,0.16,0.03
"S4","4AR2",0.56,0.09,0.15,0.27,0.06,0.19,0.05
"S4","4AR3",0.56,0.09,0.16,0.27,0.06,0.19,0.05
"S4","4AR4",0.55,0.08,0.21,0.30,0.08,0.16,0.07
"S4","4AR5",0.55,0.08,0.21,0.30,0.08,0.16,0.07
"S4","4AR6",0.42,0.08,0.17,0.34,0.06,0.12,0.06
"S4","4AZ1",1.27,0.03,0.06,0.39,0.05,0.35,0.23
"S4","4AZ2",1.36,0.04,0.06,0.40,0.05,0.38,0.24
"S4","4AZ3",0.80,0.07,0.09,0.34,0.06,0.18,0.06
"S4","4AZ4",1.02,0.06,0.08,0.35,0.07,0.22,0.09
"S4","4BD1",0.19,0.04,0.12,0.34,0.10,0.26,0.14
"S4","4BD2",0.22,0.05,0.15,0.41,0.13,0.37,0.16
"S4","4BD3",0.22,0.05,0.15,0.41,0.13,0.36,0.16
"S4","4BD4",0.21,0.06,0.10,0.39,0.13,0.32,0.16
"S4","4BS1",0.19,0.05,0.20,0.24,0.11,0.20,0.09
"S4","4BS2",0.22,0.03,0.12,0.30,0.08,0.23,0.12
"S4","4BS3",0.18,0.03,0.12,0.33,0.09,0.26,0.13
"S4","4BT1",0.29,0.08,0.00,0.51,0.21,0.41,0.32
"S4","4BU1",0.21,0.04,0.16,0.29,0.08,0.25,0.14
"S4","4BU2",0.21,0.04,0.17,0.31,0.10,0.30,0.16
"S4","4BU3",0.21,0.04,0.16,0.29,0.08,0.25,0.14
"S4","4BU4",0.21,0.04,0.16,0.30,0.09,0.28,0.15
"S4","4CH1",0.37,0.11,0.25,0.21,0.07,0.12,0.04
"S4","4CH2",0.32,0.09,0.29,0.20,0.06,0.14,0.04
"S4","4CL1",0.33,0.16,0.21,0.28,0.08,0.16,0.05
"S4","4CL2",0.33,0.17,0.21,0.27,0.08,0.16,0.05
"S4","4CM1",0.37,0.16,0.25,0.25,0.08,0.14,0.03
"S4","4CM2",0.36,0.15,0.24,0.25,0.08,0.14,0.04
"S4","4DL1",0.05,0.01,0.01,0.03,0.01,0.03,0.00
"S4","4DS1",0.43,0.04,0.10,0.41,0.09,0.18,0.03
"S4","4DS2",0.22,0.08,0.10,0.39,0.10,0.29,0.12
"S4","4DS3",0.38,0.06,0.11,0.32,0.06,0.23,0.05
"S4","4DS4",0.42,0.09,0.13,0.34,0.08,0.15,0.02
"S4","4DS5",0.42,0.06,0.10,0.25,0.07,0.22,0.02
"S4","4EL1",0.08,0.01,0.01,0.14,0.08,0.13,0.07
"S4","4ES1",0.23,0.05,0.12,0.23,0.09,0.20,0.03
"S4","4ES2",0.20,0.05,0.13,0.24,0.09,0.24,0.04
