"DRG_VERSION","DRG_CODE","NURSEUC","ONE","CritUC","ORPUBUC","PROSPUBUC","SUPPLYUC","ALLIEDUC","OTUC","PHYSIOUC","SPTHERUC","NUTRDIETUC","SOCIALWUC","GENRADUC","PharmUC","CLINLABUC","ALLIEDC","PHYSIOC","OTC","SPTHERC","NUTRDIETC","SOCIALWC","SUPPLYC","RADC","INTERRADC","ANGIOC","ULTSNDC","NUCMEDC","MRIC","CTC","GENRADC","PHARMSTR","PROSPUBC","CLINLABC","ORPUBC","ORPUBXMC","CCU","ICU","NICU","NURSEUC_SA","snapallied","snappath","snapimag","snapnurse","snapdrugs","snapsupply","snapother"
"8.0","N61A","0.92","1","0.01","0","2","0.57","9.99","0","0","0","0","28.54","0.62","0.22","0.69","35.02","29.22","40.34","6.83","32.45","88.83","0.6","0.44","1.71","0","0.72","0.88","0.81","0.88","0.66","0.51","8","0.64","0.31","0.31","0.5","1","0","0.49","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"8.0","R61B","1.27","1","0.16","0","8","2.45","72.38","48.88","25.86","8.65","124","132.4","1.55","9.24","3.34","43.76","38.86","48.95","27.16","50.15","60.06","1.86","0.99","1.42","0.42","0.91","0.96","0.97","1.12","0.68","9.74","11","2.25","0.52","0.53","0.8","1","0","1.22","0.22","0.05","0.13","0.35","0.12","0.29","0.16"
"8.0","R62C","0.67","1","0.21","0.02","2","1.17","13.37","9.91","4.27","3.22","16.29","12.99","0.79","0.49","0.29","19.15","14.77","16.86","6.46","26.15","29.55","1.46","0.91","1.2","0.43","0.23","0.83","0.93","0.27","0.44","1.38","4","0.58","0.34","0.36","0.51","1","0","0.45","0.41","0.06","0.13","0.32","0.1","0.26","0.13"
"8.0","U60A","0.3","1","0.04","0","0","0.11","1.14","0.04","0.67","0.01","0.03","4.42","0.07","0.04","0.22","29.72","30.2","7.82","3.69","112.1","87.27","0.1","0.47","0.61","1.55","0.65","0.96","0.97","0.68","0.45","0.06","5","0.41","0.38","0.37","0.4","1","0","0.09","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"8.0","U61A","0.78","1","1","0.12","1","4.2","9.54","0","9.26","0","18","21.96","0.26","1.84","1.24","29.52","61.36","82.42","12.91","57.92","61.39","4.17","0.52","0.75","2.02","0.85","0.88","0.81","0.68","0.69","1.84","27","0.8","0.3","0.3","0.9","1","0","0.78","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"1","192Z-U61A","0.78","1","1","0.12","1","4.2","9.54","0","9.26","0","18","21.96","0.26","1.84","1.24","29.52","61.36","82.42","12.91","57.92","61.39","4.17","0.52","0.75","2.02","0.85","0.88","0.81","0.68","0.69","1.84","27","0.8","0.3","0.3","0.9","1","0","0.78","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"1","193Z-U61A","0.78","1","1","0.12","1","4.2","9.54","0","9.26","0","18","21.96","0.26","1.84","1.24","29.52","61.36","82.42","12.91","57.92","61.39","4.17","0.52","0.75","2.02","0.85","0.88","0.81","0.68","0.69","1.84","27","0.8","0.3","0.3","0.9","1","0","0.78","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"8.0","U61B","0.87","1","1","0.07","0","2.47","12.17","5.86","8.52","0","31","39.79","0.2","1.33","0.82","48.2","79.77","73.4","96.69","89.83","174.21","2.58","0.35","0.84","0","0.91","0.85","0.97","0.71","0.62","1.33","3","0.61","0.27","0.27","0.7","1","0","0.87","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"1","192Z-U61B","0.87","1","1","0.07","0","2.47","12.17","5.86","8.52","0","31","39.79","0.2","1.33","0.82","48.2","79.77","73.4","96.69","89.83","174.21","2.58","0.35","0.84","0","0.91","0.85","0.97","0.71","0.62","1.33","3","0.61","0.27","0.27","0.7","1","0","0.87","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"8.0","U62A","1.19","1","0.31","0","0","3.23","67.77","40.82","27.96","0","76","110.81","0.62","1.67","1","150.93","121.18","160.1","104.75","193.62","163.4","3.59","0.52","1.49","0","1.06","0.78","0.92","0.71","0.67","1.77","31","0.75","0.25","0.27","0.7","1","0","1.17","0.41","0.05","0.1","0.38","0.08","0.2","0.04"
"1","192Z-U62A","1.19","1","0.31","0","0","3.23","67.77","40.82","27.96","0","76","110.81","0.62","1.67","1","150.93","121.18","160.1","104.75","193.62","163.4","3.59","0.52","1.49","0","1.06","0.78","0.92","0.71","0.67","1.77","31","0.75","0.25","0.27","0.7","1","0","1.17","0.41","0.05","0.1","0.38","0.08","0.2","0.04"
"8.0","U62B","1.07","1","0.31","0","1","2.65","42.98","38.75","12.56","0","13","182.54","0.68","1.08","0.79","58.5","36.08","87.99","3.57","28.22","208.54","2.68","0.54","2.48","0","1.03","0.85","0.92","0.68","0.64","0.98","2","0.65","0.42","0.41","0.7","1","0","0.68","0.2","0.03","0.05","0.23","0.05","0.21","0.15"
"1","192Z-U62B","1.07","1","0.31","0","1","2.65","42.98","38.75","12.56","0","13","182.54","0.68","1.08","0.79","58.5","36.08","87.99","3.57","28.22","208.54","2.68","0.54","2.48","0","1.03","0.85","0.92","0.68","0.64","0.98","2","0.65","0.42","0.41","0.7","1","0","0.68","0.2","0.03","0.05","0.23","0.05","0.21","0.15"
"8.0","U63A","1.08","1","1","0.6","6","4.78","393.06","268.21","228.89","256.14","585","255.47","1.02","2.65","1.78","163.23","114.61","157.03","161.57","170.74","125.21","4.54","3.08","1.09","0","0.96","0.99","0.98","0.77","0.82","2.65","8","1.13","0.59","0.59","0.7","1","0","1.08","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"1","192Z-U63A","1.08","1","1","0.6","6","4.78","393.06","268.21","228.89","256.14","585","255.47","1.02","2.65","1.78","163.23","114.61","157.03","161.57","170.74","125.21","4.54","3.08","1.09","0","0.96","0.99","0.98","0.77","0.82","2.65","8","1.13","0.59","0.59","0.7","1","0","1.08","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"8.0","U63B","1.1","1","1","0.22","1","3.67","8.46","0","5.92","0","21","32.05","0.24","1.29","0.91","30.74","52.54","78.48","15.66","59.16","116.92","3.69","0.87","0.77","1.38","0.81","1.02","0.91","0.7","0.59","1.29","7","0.62","0.46","0.44","0.7","1","0","1.1","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"1","192Z-U63B","1.1","1","1","0.22","1","3.67","8.46","0","5.92","0","21","32.05","0.24","1.29","0.91","30.74","52.54","78.48","15.66","59.16","116.92","3.69","0.87","0.77","1.38","0.81","1.02","0.91","0.7","0.59","1.29","7","0.62","0.46","0.44","0.7","1","0","1.1","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"8.0","U64A","1.14","1","0.18","0","1","2.04","28.78","28.64","16.13","0","35","89.94","0.24","0.76","0.61","51.22","38.43","63.93","56.3","58.16","99.2","1.72","0.63","0.8","0.73","0.84","0.92","1.16","0.75","0.67","0.82","8","0.56","0.54","0.54","0.7","1","0","0.89","0.4","0.07","0.14","0.33","0.08","0.17","0.03"
"8.0","U64B","1.14","1","0.18","0","1","2.04","28.79","28.64","16.14","0.01","34.98","89.97","0.24","0.76","0.61","51.23","38.44","63.94","56.35","58.15","99.21","1.72","0.63","0.8","0.73","0.84","0.92","1.16","0.75","0.67","0.82","8","0.56","0.54","0.54","0.7","1","0","0.89","0.4","0.07","0.14","0.33","0.08","0.17","0.03"
"8.0","U65B","1.35","1","0.57","0","0","1.64","69.91","66","64.71","0","25.98","160.86","0.68","0.71","0.76","57.47","59.23","70.72","47.52","44.79","85.69","1.83","0.54","0.4","0","0.81","0.91","1.13","0.71","0.5","0.66","2","0.54","0.4","0.39","0.7","1","0","0.69","0.5","0.05","0.16","0.28","0.1","0.23","0.1"
"8.0","U67A","1.25","1","0.16","0","0","1.39","25.97","8.22","7.82","15.3","10","92.78","0.11","0.48","0.44","60.8","42.55","71.89","127.04","49.48","113.38","1.57","0.48","1.98","1.66","0.8","0.79","0.94","0.72","0.62","0.46","8","0.47","0.45","0.44","0.7","1","0","1.03","0.38","0.06","0.11","0.32","0.06","0.23","0.05"
"1","192Z-U67A","1.25","1","0.16","0","0","1.39","25.97","8.22","7.82","15.3","10","92.78","0.11","0.48","0.44","60.8","42.55","71.89","127.04","49.48","113.38","1.57","0.48","1.98","1.66","0.8","0.79","0.94","0.72","0.62","0.46","8","0.47","0.45","0.44","0.7","1","0","1.03","0.38","0.06","0.11","0.32","0.06","0.23","0.05"
"8.0","U67B","1.25","1","0.16","0","0","1.39","25.99","8.24","7.83","15.32","10","92.78","0.11","0.48","0.44","60.81","42.55","71.87","127.03","49.48","113.36","1.57","0.48","1.98","1.66","0.8","0.79","0.94","0.72","0.62","0.46","8","0.47","0.45","0.44","0.7","1","0","1.03","0.38","0.06","0.11","0.32","0.06","0.23","0.05"
"1","193Z-U67B","1.25","1","0.16","0","0","1.39","25.99","8.24","7.83","15.32","10","92.78","0.11","0.48","0.44","60.81","42.55","71.87","127.03","49.48","113.36","1.57","0.48","1.98","1.66","0.8","0.79","0.94","0.72","0.62","0.46","8","0.47","0.45","0.44","0.7","1","0","1.03","0.38","0.06","0.11","0.32","0.06","0.23","0.05"
"8.0","V61A","1.12","1","0.47","0","0","1.13","14.19","0.06","4.63","0","0.02","53.33","0.3","0.72","0.59","43.89","45.46","36.76","3.57","37.38","87.18","1.42","0.47","0.8","0","0.83","0.78","0.87","0.73","0.57","0.65","1","0.57","0.25","0.27","0.8","1","0","0.91","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"8.0","V61B","1.12","1","0.49","0","0","1.13","14.32","0.1","4.75","0.02","0.05","53.44","0.3","0.72","0.59","43.91","45.49","36.72","3.62","37.4","87.03","1.42","0.47","0.8","0","0.83","0.78","0.87","0.73","0.57","0.65","1","0.57","0.25","0.27","0.8","1","0","0.91","0.48","0.06","0.13","0.3","0.09","0.25","0.11"
"8.0","W61A","1.19","1","16.85","0","8","4.82","1135.42","1209.04","1392.27","422.76","431","787.8","7.57","2.62","4.31","272.01","276.87","181.01","82.84","88.34","138.49","10.37","3.23","0.25","1.72","1.12","1.18","0.9","1.7","3.5","1.94","5","1.9","0.63","0.65","1","1","0.44","0.77","0.42","0.06","0.13","0.26","0.07","0.22","0.04"
"8.0","Z61A","0.65","1","0.15","0","1","1.44","118.25","153.14","77.48","17.51","160","155.98","1.23","0.7","1.31","53.53","43.19","69.44","23.86","52.94","68.3","0.87","0.57","0.4","0.96","0.89","1","0.81","0.79","0.55","0.62","3","1.08","0.35","0.35","0.5","1","0.44","0.66","0.24","0.05","0.16","0.3","0.09","0.23","0.11"
"8.0","Z63A","0.78","1","0.03","0","11","4.4","490.3","698.61","536.67","0","478","327.46","1.18","2.49","2.05","139.16","127.76","184.57","33.22","103.12","88.16","1.99","0.93","0.76","0.79","0.94","0.92","0.97","1.43","1.01","1.36","19","0.88","0.46","0.47","1","1","0.44","0.96","0.54","0.07","0.12","0.25","0.08","0.22","0.06"
"8.0","Z63B","0.52","1","0.95","0","48","1.07","80.42","67.97","107.97","0","128","60.3","0.27","1.02","0.7","60.6","69.53","106.3","22.01","221.36","64.13","0.69","0.69","0.8","1.25","0.77","0.68","0.8","0.93","0.62","0.36","121","0.56","0.25","0.27","0.5","1","0.44","0.62","0.39","0.07","0.12","0.22","0.08","0.21","0.05"
"8.0","Z64A","0.75","1","0.05","0","6","1.05","148.35","108.43","60.65","70.51","42","234.42","0.39","0.32","0.66","149.57","72.8","115.67","179.55","65.88","128.56","0.97","0.78","0.4","0.89","0.95","1.05","1.07","0.82","0.89","1.04","11","0.89","0.47","0.47","0.5","0.53","0.16","0.7","0.41","0.05","0.11","0.25","0.08","0.22","0.05"
"8.0","Z64B","0.4","1","0.05","0","10","0.21","2.18","0","0","0","","6.11","0.04","0.13","0.15","24.75","36.04","18.94","8.9","64.62","58.54","0.23","0.75","0.83","0.59","0.81","0.74","0.9","0.8","0.52","0.24","22","0.44","0.49","0.5","0.5","0.53","0.44","0.25","0.38","0.04","0.1","0.24","0.07","0.23","0.05"
